pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-04-03,95.1,-2.58,5.05,"Iglesias, Raisel",672515,628452,field_out,hit_into_play,,,,,11,Gabriel Moreno flies out to right fielder Ronald Acuña Jr.,R,R,R,AZ,ATL,X,9,fly_ball,2,2,2026,-0.89,1.17,-0.1867219222325036,3.192911811721202,,,,2,9,Bot,164.27,130.44,,,,,8.165063818266214,-138.25571988518527,-1.7020508949713964,-13.239465996517785,31.74139264893557,-17.01140187263809,3.071686352,1.55019685,198,76.6,54,94.6,2327,6.1,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.41,0.069,0.069,0.0,1,0,0,3,65,6,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,232,-0.015,-0.224,70.9,6.4,0.093,0.224,88.0,-2,-2,0.015,0.015,36,26,36,26,1,3,,,,,1.36,0.89,0.89,,6.6417960459941225,7.00041032237861,26.80574752298554,31.600774525762635,34.63542735376281
CH,2026-04-03,89.9,-1.83,5.42,"Iglesias, Raisel",672515,628452,,foul,,,,,9,Foul,R,R,R,AZ,ATL,S,,,2,2,2026,-1.32,0.28,0.7439451731459605,1.443983425636329,,,,2,9,Bot,,,,,,,9.092081775779702,-130.63410194279757,-4.266858095464052,-16.94285911483405,26.367847544624247,-28.203038870444388,3.071686352,1.55019685,,,,89.8,1850,6.2,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.31,,,,,,,,65,5,Changeup,0,2,0,2,2,0,0,2,Standard,Standard,246,0.0,0.0,69.1,7.8,,0.0,,-2,-2,0.015,0.015,36,26,36,26,1,3,,,,,2.53,1.32,1.32,,15.002951986653962,2.743595210395567,34.16335305259049,42.84872020139035,32.1850338948648
SI,2026-04-03,94.6,-2.43,5.07,"Iglesias, Raisel",672515,628452,,called_strike,,,,,5,Called Strike,R,R,R,AZ,ATL,S,,,2,1,2026,-1.48,0.35,-0.0133520072011577,2.41767137913559,,,,2,9,Bot,,,,,,,9.533507149070273,-137.52324170652383,-1.8110643767257035,-20.8576499088118,30.732547283991124,-27.59029213368937,3.071686352,1.55019685,,,,94.2,2323,6.1,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.37,,,,,,,,65,4,Sinker,0,2,0,2,2,0,0,2,Strategic,Standard,232,-0.003,-0.073,,,,0.073,,-2,-2,0.018,0.018,36,26,36,26,1,3,,,,,2.21,1.48,1.48,,,,,,
SI,2026-04-03,94.5,-1.7,5.51,"Iglesias, Raisel",672515,628452,,called_strike,,,,,5,Called Strike,R,R,R,AZ,ATL,S,,,2,0,2026,-1.38,0.48,-0.0790161972469156,2.569482452800269,,,,2,9,Bot,,,,,,,7.288609341162635,-137.4104483422372,-2.839765230902131,-19.155526271883257,31.099498668894107,-25.71179146550293,3.071686352,1.55019685,,,,94.2,2186,6.2,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.3,,,,,,,,65,3,Sinker,0,2,0,2,2,0,0,2,Strategic,Standard,218,-0.006,-0.066,,,,0.066,,-2,-2,0.024,0.024,36,26,36,26,1,3,,,,,2.08,1.38,1.38,,,,,,
FF,2026-04-03,95.1,-1.68,5.56,"Iglesias, Raisel",672515,628452,,ball,,,,,14,Ball,R,R,R,AZ,ATL,B,,,1,0,2026,-0.58,1.29,0.9848652264308186,1.8536222038776904,,,,2,9,Bot,,,,,,,8.204188276684565,-138.11604424557115,-6.760669311380973,-9.326216890936417,31.00810639456213,-14.296846229916977,3.071686352,1.55019685,,,,94.9,2233,6.3,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.19,,,,,,,,65,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,219,0.006,0.065,,,,-0.065,,-2,-2,0.018,0.018,36,26,36,26,1,3,,,,,1.24,0.58,0.58,,,,,,
SI,2026-04-03,95.4,-1.65,5.54,"Iglesias, Raisel",672515,628452,,ball,,,,,14,Ball,R,R,R,AZ,ATL,B,,,0,0,2026,-1.37,0.53,0.9490880038506416,0.9157095066103482,,,,2,9,Bot,,,,,,,9.851153222019969,-138.38147256140456,-7.389671629429939,-19.89220216950136,31.894136777822656,-23.8695722262916,3.071686352,1.55019685,,,,94.8,2342,6.2,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.29,,,,,,,,65,1,Sinker,0,2,0,2,2,0,0,2,Strategic,Standard,227,0.003,0.037,,,,-0.037,,-2,-2,0.015,0.015,36,26,36,26,1,3,,,,,2.0,1.37,1.37,,,,,,
CH,2026-04-03,88.4,-2.13,5.24,"Iglesias, Raisel",672695,628452,field_out,hit_into_play,,,,,14,"Geraldo Perdomo grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,R,AZ,ATL,X,4,ground_ball,2,2,2026,-1.26,0.17,0.0058863807356794,1.5328644103557163,,,,1,9,Bot,148.67,144.87,,,,,7.793618558552308,-128.5486681051913,-3.063437691750594,-15.571261490889114,27.310028247007985,-29.884135021371733,3.31742126,1.674212598,97,93.6,6,88.3,1931,6.3,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.21,0.52,0.487,0.0,1,0,0,4,64,6,Changeup,0,2,0,2,2,0,0,2,Strategic,Standard,250,-0.027,-0.228,65.6,7.2,0.584,0.228,93.6,-2,-2,0.042,0.042,36,26,36,27,1,3,,,,,2.76,1.26,-1.26,,5.748654784033478,-1.377253457908122,40.970383916361634,35.3673457342674,23.52645498214097
FF,2026-04-03,95.9,-2.58,5.14,"Iglesias, Raisel",672695,628452,,ball,,,,,11,Ball,R,L,R,AZ,ATL,B,,,1,2,2026,-0.73,1.2,-0.9517147766476064,3.804569852231284,,,,1,9,Bot,,,,,,,5.896030268368709,-139.48607408952753,-0.4982846646087656,-10.8311960833396,32.702769271700184,-16.71820011345592,3.31742126,1.674212598,,,,95.4,2221,6.1,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.38,,,,,,,,64,5,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,230,0.005,0.048,,,,-0.048,,-2,-2,0.037,0.037,36,26,36,27,1,3,,,,,1.29,0.73,-0.73,,,,,,
FF,2026-04-03,95.5,-2.68,5.1,"Iglesias, Raisel",672695,628452,,foul,,,,,5,Foul,R,L,R,AZ,ATL,S,,,1,2,2026,-1.02,1.19,0.0684042173207344,2.632829119558987,,,,1,9,Bot,,,,,,,9.467496349100692,-138.75949448351835,-3.394077306887996,-15.342888301755789,31.090502822302287,-16.177663175728696,3.31742126,1.674212598,213,71.7,28,95.3,2300,6.2,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.26,,,,,,,,64,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,241,0.0,0.0,65.3,6.5,,0.0,88.0,-2,-2,0.037,0.037,36,26,36,27,1,3,,,,,1.31,1.02,-1.02,,2.7330206612567443,7.203928377845972,41.95305312208655,34.99130122700059,16.17745220360565
FF,2026-04-03,94.7,-2.56,5.1,"Iglesias, Raisel",672695,628452,,called_strike,,,,,6,Called Strike,R,L,R,AZ,ATL,S,,,1,1,2026,-0.93,1.24,0.3181263969007539,2.192112191586982,,,,1,9,Bot,,,,,,,9.457838944375023,-137.5621913101183,-4.510591647231094,-13.90518672999897,31.09952865503072,-15.547056451902147,3.31742126,1.674212598,,,,94.1,2233,6.1,825103,686948,621566,645277,663586,643289,573262,671739,660670,54.41,,,,,,,,64,3,4-Seam Fastball,0,2,0,2,2,0,0,2,Strategic,Standard,236,-0.008,-0.064,,,,0.064,,-2,-2,0.045,0.045,36,26,36,27,1,3,,,,,1.31,0.93,-0.93,,,,,,
